x z p
-0.400000 0.000000 101325.500000
-0.398397 0.005162 101325.500000
-0.396794 0.009663 101325.500000
-0.395190 0.013562 101325.500000
-0.393587 0.016914 101325.500000
-0.391984 0.019777 101325.500000
-0.390381 0.022208 101325.500000
-0.388778 0.024263 101325.500000
-0.387174 0.026001 101325.500000
-0.385571 0.027476 101325.500000
-0.383968 0.028746 101325.500000
-0.382365 0.029870 101325.500000
-0.380762 0.030902 101325.500000
-0.379158 0.031898 101325.500000
-0.377555 0.032886 101325.500000
-0.375952 0.033863 101325.500000
-0.374349 0.034829 101325.492188
-0.372746 0.035782 101325.492188
-0.371142 0.036718 101325.492188
-0.369539 0.037638 101325.492188
-0.367936 0.038540 101325.492188
-0.366333 0.039420 101325.492188
-0.364730 0.040277 101325.492188
-0.363126 0.041110 101325.492188
-0.361523 0.041916 101325.328125
-0.359920 0.042694 101325.328125
-0.358317 0.043442 101325.328125
-0.356714 0.044163 101325.328125
-0.355110 0.044857 101325.328125
-0.353507 0.045526 101325.328125
-0.351904 0.046171 101325.328125
-0.350301 0.046794 101325.328125
-0.348698 0.047398 101325.328125
-0.347094 0.047984 101325.328125
-0.345491 0.048554 101325.328125
-0.343888 0.049108 101325.328125
-0.342285 0.049649 101325.328125
-0.340682 0.050178 101325.328125
-0.339078 0.050698 101325.328125
-0.337475 0.051208 101325.328125
-0.335872 0.051709 101325.328125
-0.334269 0.052202 101325.328125
-0.332666 0.052685 101325.000000
-0.331062 0.053159 101325.000000
-0.329459 0.053624 101325.000000
-0.327856 0.054081 101325.000000
-0.326253 0.054529 101325.000000
-0.324650 0.054968 101325.000000
-0.323046 0.055398 101325.000000
-0.321443 0.055820 101325.000000
-0.319840 0.056233 101325.000000
-0.318237 0.056638 101325.000000
-0.316634 0.057034 101325.000000
-0.315030 0.057422 101325.000000
-0.313427 0.057802 101325.000000
-0.311824 0.058174 101325.000000
-0.310221 0.058538 101325.000000
-0.308618 0.058894 101325.000000
-0.307014 0.059244 101325.000000
-0.305411 0.059586 101325.000000
-0.303808 0.059920 101325.000000
-0.302205 0.060248 101325.000000
-0.300602 0.060569 101325.000000
-0.298998 0.060882 101325.000000
-0.297394 0.061190 101325.000000
-0.295791 0.061491 101325.000000
-0.294188 0.061786 101325.000000
-0.292585 0.062074 101325.000000
-0.290982 0.062357 101324.937500
-0.289378 0.062634 101324.937500
-0.287775 0.062905 101324.937500
-0.286172 0.063170 101324.937500
-0.284569 0.063430 101324.937500
-0.282966 0.063686 101324.937500
-0.281362 0.063935 101324.937500
-0.279759 0.064181 101324.937500
-0.278156 0.064421 101324.937500
-0.276553 0.064656 101324.937500
-0.274950 0.064886 101324.937500
-0.273346 0.065113 101324.937500
-0.271743 0.065334 101324.937500
-0.270140 0.065551 101324.937500
-0.268537 0.065764 101324.937500
